X Y  Index
---------------------------------------------------
0 0 :0
1 0 :1
2 0 :2
3 0 :3
4 0 :4
5 0 :5
6 0 :6
7 0 :7
8 0 :8
9 0 :9
10 0 :10
X Y  Index
---------------------------------------------------
0 1 :11
1 1 :12
2 1 :13
3 1 :14
4 1 :15
5 1 :16
6 1 :17
7 1 :18
8 1 :19
9 1 :20
10 1 :21
X Y  Index
---------------------------------------------------
0 2 :22
1 2 :23
2 2 :24
3 2 :25
4 2 :26
5 2 :27
6 2 :28
7 2 :29
8 2 :30
9 2 :31
10 2 :32
X Y  Index
---------------------------------------------------
0 3 :33
1 3 :34
2 3 :35
3 3 :36
4 3 :37
5 3 :38
6 3 :39
7 3 :40
8 3 :41
9 3 :42
10 3 :43
X Y  Index
---------------------------------------------------
0 4 :44
1 4 :45
2 4 :46
3 4 :47
4 4 :48
5 4 :49
6 4 :50
7 4 :51
8 4 :52
9 4 :53
10 4 :54
X Y  Index
---------------------------------------------------
0 5 :55
1 5 :56
2 5 :57
3 5 :58
4 5 :59
5 5 :60
6 5 :61
7 5 :62
8 5 :63
9 5 :64
10 5 :65
X Y  Index
---------------------------------------------------
0 6 :66
1 6 :67
2 6 :68
3 6 :69
4 6 :70
5 6 :71
6 6 :72
7 6 :73
8 6 :74
9 6 :75
10 6 :76
X Y  Index
---------------------------------------------------
0 7 :77
1 7 :78
2 7 :79
3 7 :80
4 7 :81
5 7 :82
6 7 :83
7 7 :84
8 7 :85
9 7 :86
10 7 :87
X Y  Index
---------------------------------------------------
0 8 :88
1 8 :89
2 8 :90
3 8 :91
4 8 :92
5 8 :93
6 8 :94
7 8 :95
8 8 :96
9 8 :97
10 8 :98
X Y  Index
---------------------------------------------------
0 9 :99
1 9 :100
2 9 :101
3 9 :102
4 9 :103
5 9 :104
6 9 :105
7 9 :106
8 9 :107
9 9 :108
10 9 :109
X Y  Index
---------------------------------------------------
0 10 :110
1 10 :111
2 10 :112
3 10 :113
4 10 :114
5 10 :115
6 10 :116
7 10 :117
8 10 :118
9 10 :119
10 10 :120
